{timestamp: 2025-02-03 16:02:00, city: Denver, temperature: 25\u00baC}
{timestamp: 2025-02-03 16:02:02, city: New York, temperature: 28\u00baC}
{timestamp: 2025-02-03 16:02:03, city: Chicago, temperature: 20\u00baC}
{timestamp: 2025-02-03 16:02:04, city: New Jersey, temperature: 23\u00baC}
{timestamp: 2025-02-03 16:02:05, city: New York, temperature: 25\u00baC}
{timestamp: 2025-02-03 16:02:06, city: Denver, temperature: 20\u00baC}
{timestamp: 2025-02-03 16:02:07, city: Denver, temperature: 32\u00baC}
{timestamp: 2025-02-03 16:02:08, city: Los Angeles, temperature: 24\u00baC}
{timestamp: 2025-02-03 16:02:09, city: Los Angeles, temperature: 29\u00baC}
{timestamp: 2025-02-03 16:02:10, city: Chicago, temperature: 19\u00baC}
2025-02-03 21:21:13,tx,27\u00baC
2025-02-03 21:21:14,chicago,19\u00baC
2025-02-03 21:21:15,nyc,27\u00baC
2025-02-03 21:21:16,tx,28\u00baC
2025-02-03 21:21:17,tx,20\u00baC
2025-02-03 21:21:18,chicago,26\u00baC
2025-02-03 21:21:19,nyc,31\u00baC
2025-02-03 21:21:20,nyc,22\u00baC
2025-02-03 21:21:21,tx,28\u00baC
2025-02-03 21:21:22,chicago,21\u00baC
2025-02-03 22:26:56,nyc,27\u00baC
2025-02-03 22:26:57,tx,26\u00baC
2025-02-03 22:26:58,tx,30\u00baC
2025-02-03 22:26:59,nyc,21\u00baC
2025-02-03 22:27:00,tx,20\u00baC
2025-02-03 22:27:01,chicago,20\u00baC
2025-02-03 22:27:02,nyc,19\u00baC
2025-02-03 22:27:03,chicago,26\u00baC
2025-02-03 22:27:04,nyc,32\u00baC
2025-02-03 22:27:05,nyc,26\u00baC
2025-02-03 22:29:11,nyc,26\u00baC
2025-02-03 22:29:12,nyc,21\u00baC
2025-02-03 22:29:13,nyc,29\u00baC
2025-02-03 22:29:14,nyc,20\u00baC
2025-02-03 22:29:15,tx,19\u00baC
2025-02-03 22:29:16,chicago,24\u00baC
2025-02-03 22:29:17,tx,30\u00baC
2025-02-03 22:29:18,nyc,27\u00baC
2025-02-03 22:29:19,nyc,26\u00baC
2025-02-03 22:29:20,nyc,27\u00baC
2025-02-03 22:30:14,tx,20\u00baC
2025-02-03 22:30:15,tx,31\u00baC
2025-02-03 22:30:16,chicago,22\u00baC
2025-02-03 22:30:17,tx,28\u00baC
2025-02-03 22:30:18,chicago,25\u00baC
2025-02-03 22:30:19,nyc,18\u00baC
2025-02-03 22:30:20,chicago,31\u00baC
2025-02-03 22:30:21,nyc,24\u00baC
2025-02-03 22:30:22,nyc,24\u00baC
2025-02-03 22:30:23,chicago,27\u00baC
2025-02-04 12:03:19,nyc,22\u00baC
2025-02-04 12:03:20,chicago,31\u00baC
2025-02-04 12:03:21,tx,21\u00baC
2025-02-04 12:03:22,chicago,26\u00baC
2025-02-04 12:03:23,tx,22\u00baC
2025-02-04 12:03:24,chicago,25\u00baC
2025-02-04 12:03:25,tx,28\u00baC
2025-02-04 12:03:26,tx,28\u00baC
2025-02-04 12:03:27,chicago,26\u00baC
2025-02-04 12:03:28,chicago,32\u00baC
2025-02-04 12:09:23,chicago,22\u00baC
2025-02-04 12:09:24,tx,28\u00baC
2025-02-04 12:09:25,chicago,29\u00baC
2025-02-04 12:09:26,nyc,21\u00baC
2025-02-04 12:09:27,nyc,24\u00baC
2025-02-04 12:09:28,tx,22\u00baC
2025-02-04 12:09:29,chicago,21\u00baC
2025-02-04 12:09:30,tx,18\u00baC
2025-02-04 12:09:31,tx,25\u00baC
2025-02-04 12:09:32,tx,22\u00baC
2025-02-04 12:10:42,Texas,30\u00baC
2025-02-04 12:10:43,NYC,23\u00baC
2025-02-04 12:10:44,Chicago,21\u00baC
2025-02-04 12:10:45,Chicago,30\u00baC
2025-02-04 12:10:46,Chicago,27\u00baC
2025-02-04 12:10:47,Chicago,19\u00baC
2025-02-04 12:10:48,Texas,23\u00baC
2025-02-04 12:10:49,Chicago,22\u00baC
2025-02-04 12:10:50,Texas,27\u00baC
2025-02-04 12:10:51,NYC,29\u00baC
2025-02-04 16:21:50,Huntsville,19\u00baC
2025-02-04 16:21:51,Chicago,29\u00baC
2025-02-04 16:21:52,New York,27\u00baC
2025-02-04 16:21:53,Chicago,19\u00baC
2025-02-04 16:21:54,Huntsville,19\u00baC
2025-02-04 16:21:55,Chicago,24\u00baC
2025-02-04 16:21:56,Huntsville,25\u00baC
2025-02-04 16:21:57,New York,23\u00baC
2025-02-04 16:21:58,Huntsville,20\u00baC
2025-02-04 16:21:59,New York,27\u00baC
2025-02-04 16:23:01,Kathmandu,20\u00baC
2025-02-04 16:23:02,Huntsville,26\u00baC
2025-02-04 16:23:03,Richmond,26\u00baC
2025-02-04 16:23:04,Biratnagar,30\u00baC
2025-02-04 16:23:05,Kathmandu,29\u00baC
2025-02-04 16:23:06,Fairmont,24\u00baC
2025-02-04 16:23:07,Richmond,23\u00baC
2025-02-04 16:23:08,Guntersville,29\u00baC
2025-02-04 16:23:09,Las Vegas,27\u00baC
2025-02-04 16:23:10,Las Vegas,27\u00baC
2025-02-04 18:00:39,New York,31\u00baC
2025-02-04 18:00:40,Los Angeles,24\u00baC
2025-02-04 18:00:41,Chicago,22\u00baC
2025-02-04 18:00:42,Chicago,30\u00baC
2025-02-04 18:00:43,New York,29\u00baC
2025-02-04 18:00:44,Los Angeles,19\u00baC
2025-02-04 18:00:45,Chicago,19\u00baC
2025-02-04 18:00:46,New York,29\u00baC
2025-02-04 18:00:47,New York,28\u00baC
2025-02-04 18:00:48,New York,23\u00baC
{timestamp: 2025-02-05 15:36:33, city: New Jersey, temperature: 26\u00baC}
{timestamp: 2025-02-05 15:36:34, city: New York, temperature: 31\u00baC}
{timestamp: 2025-02-05 15:36:35, city: New Jersey, temperature: 23\u00baC}
{timestamp: 2025-02-05 15:36:36, city: Chicago, temperature: 25\u00baC}
{timestamp: 2025-02-05 15:36:37, city: Los Angeles, temperature: 19\u00baC}
{timestamp: 2025-02-05 15:36:38, city: Chicago, temperature: 21\u00baC}
{timestamp: 2025-02-05 15:36:39, city: Denver, temperature: 26\u00baC}
{timestamp: 2025-02-05 15:36:40, city: New York, temperature: 31\u00baC}
{timestamp: 2025-02-05 15:36:41, city: Denver, temperature: 26\u00baC}
{timestamp: 2025-02-05 15:36:42, city: Los Angeles, temperature: 26\u00baC}
{timestamp: 2025-02-05 20:12:57, city: Chicago, temperature: 18\u00baC}
{timestamp: 2025-02-05 20:12:58, city: Los Angeles, temperature: 19\u00baC}
{timestamp: 2025-02-05 20:12:59, city: New Jersey, temperature: 23\u00baC}
{timestamp: 2025-02-05 20:13:00, city: Los Angeles, temperature: 19\u00baC}
{timestamp: 2025-02-05 20:13:01, city: Chicago, temperature: 24\u00baC}
{timestamp: 2025-02-05 20:13:02, city: Chicago, temperature: 23\u00baC}
{timestamp: 2025-02-05 20:13:03, city: New Jersey, temperature: 21\u00baC}
{timestamp: 2025-02-05 20:13:04, city: Denver, temperature: 30\u00baC}
{timestamp: 2025-02-05 20:13:05, city: Chicago, temperature: 23\u00baC}
{timestamp: 2025-02-05 20:13:06, city: New Jersey, temperature: 18\u00baC}
2025-02-06 10:33:50,{'city': 'San Francisco', 'temperature': 22},30\u00baC
2025-02-06 10:33:51,{'city': 'Chicago', 'temperature': 30},29\u00baC
2025-02-06 10:33:52,{'city': 'San Francisco', 'temperature': 22},20\u00baC
2025-02-06 10:33:53,{'city': 'Chicago', 'temperature': 30},25\u00baC
2025-02-06 10:33:54,{'city': 'San Francisco', 'temperature': 22},31\u00baC
2025-02-06 10:33:55,{'city': 'San Francisco', 'temperature': 22},32\u00baC
2025-02-06 10:33:56,{'city': 'New York', 'temperature': 25},20\u00baC
2025-02-06 10:33:57,{'city': 'Chicago', 'temperature': 30},31\u00baC
2025-02-06 10:33:58,{'city': 'San Francisco', 'temperature': 22},18\u00baC
2025-02-06 10:33:59,{'city': 'San Francisco', 'temperature': 22},30\u00baC
2025-02-06 14:17:43,{'city': 'San Francisco', 'temperature': 22},18\u00baC
2025-02-06 14:17:44,{'city': 'New York', 'temperature': 25},24\u00baC
2025-02-06 14:17:45,{'city': 'San Francisco', 'temperature': 22},18\u00baC
2025-02-06 14:17:46,{'city': 'New York', 'temperature': 25},28\u00baC
2025-02-06 14:17:47,{'city': 'San Francisco', 'temperature': 22},19\u00baC
2025-02-06 14:17:48,{'city': 'Chicago', 'temperature': 30},30\u00baC
2025-02-06 14:17:49,{'city': 'New York', 'temperature': 25},26\u00baC
2025-02-06 14:17:50,{'city': 'Chicago', 'temperature': 30},18\u00baC
2025-02-06 14:17:51,{'city': 'New York', 'temperature': 25},27\u00baC
2025-02-06 14:17:52,{'city': 'Chicago', 'temperature': 30},29\u00baC
2025-02-06 14:36:18,{'city': 'Chicago', 'temperature': 30},18\u00baC
2025-02-06 14:36:19,{'city': 'New York', 'temperature': 25},32\u00baC
2025-02-06 14:36:20,{'city': 'New York', 'temperature': 25},27\u00baC
2025-02-06 14:36:21,{'city': 'Chicago', 'temperature': 30},25\u00baC
2025-02-06 14:36:22,{'city': 'Chicago', 'temperature': 30},24\u00baC
2025-02-06 14:36:23,{'city': 'Chicago', 'temperature': 30},22\u00baC
2025-02-06 14:36:24,{'city': 'New York', 'temperature': 25},22\u00baC
2025-02-06 14:36:25,{'city': 'New York', 'temperature': 25},19\u00baC
2025-02-06 14:36:26,{'city': 'Chicago', 'temperature': 30},23\u00baC
2025-02-06 14:36:27,{'city': 'New York', 'temperature': 25},26\u00baC
2025-02-06 15:32:09,Texas,19\u00baC
2025-02-06 15:32:10,Texas,26\u00baC
2025-02-06 15:32:11,NYC,21\u00baC
2025-02-06 15:32:12,Chicago,18\u00baC
2025-02-06 15:32:13,NYC,22\u00baC
2025-02-06 15:32:14,Chicago,21\u00baC
2025-02-06 15:32:15,Texas,20\u00baC
2025-02-06 15:32:16,Chicago,32\u00baC
2025-02-06 15:32:17,NYC,19\u00baC
2025-02-06 15:32:18,Texas,20\u00baC
